the_geom,Length,SegmentID,Width,Rating_B,RatingWord,Shape_len,Merged3.FID,Merged3.Street,Theft_rate,Subway,Rest,Graf,Theft_predicted
"LINESTRING (-74.15338555039754 40.60884958614456, -74.15452926605892 40.60972638988486)",459,8417,30,0,NR,450.4320148,5976,EAST 109 STREET,0,0,0,0,0.05
"LINESTRING (-74.15307956575049 40.60891312445322, -74.15280053946294 40.60816691034228)",322,8419,36,7,GOOD,282.6888749,5977,EAST 109 STREET,0,0,0,0,0.05
"LINESTRING (-74.15307956575049 40.60891312445322, -74.15338555039754 40.60884958614456)",191,8420,30,7,FAIR,88.05679985,5978,EAST 129 STREET,0,0,0,0,0.05
"LINESTRING (-74.15566750462969 40.61133056128339, -74.15611266502198 40.61225220983834)",368,8422,30,8,GOOD,357.8058133,5979,AMSTERDAM AVENUE,2,0,0,0,0.05
"LINESTRING (-74.15470646536119 40.61314617047904, -74.15421383697668 40.610380075658476)",980,8424,30,0,NR,1017,5980,WEST 155 STREET,0,0,0,0,0.05
"LINESTRING (-74.15470646536119 40.61314617047904, -74.15407110940622 40.61095941959005)",768,8425,30,0,NR,815.9865195,5981,WEST 178 STREET,0,0,0,0,0.05
"LINESTRING (-74.1536745312527 40.61235156327957, -74.15392811354259 40.6114234821306)",431,8427,30,0,NR,345.376606,5982,WEST 152 STREET,0,0,0,0,0.05
"LINESTRING (-74.1536745312527 40.61235156327957, -74.15470646536119 40.61314617047904)",347,8428,30,0,NR,407.3033268,5983,WEST 152 STREET,0,0,0,0,0.05
"LINESTRING (-74.15355659027344 40.612749716631164, -74.1536745312527 40.61235156327957)",155,8429,30,0,NR,148.7077671,5984,WEST 152 STREET,0,0,0,0,0.05
"LINESTRING (-74.15355659027344 40.612749716631164, -74.15313692549275 40.611937816234835)",845,8430,30,0,NR,317.9182285,5985,WEST 135 STREET,1,0,0,0,0.05
"LINESTRING (-74.15313692549275 40.611937816234835, -74.1536745312527 40.61235156327957)",220,8431,30,0,NR,212.1367483,5986,EAST ROAD,0,0,0,0,0.05
"LINESTRING (-74.15238643332854 40.61135142679963, -74.15392811354259 40.6114234821306)",746,8432,30,0,NR,428.8507899,5987,EAST ROAD,0,0,0,0,0.05
"LINESTRING (-74.15238643332854 40.61135142679963, -74.15313692549275 40.611937816234835)",249,8433,30,0,NR,298.4292211,5988,WEST ROAD,0,0,0,0,0.05
"LINESTRING (-74.15533665787727 40.61464398021316, -74.15613291374574 40.614749948541586)",409,8434,30,8,GOOD,224.4147945,5989,NORTH END AVENUE,0,0,0,0,0.05
"LINESTRING (-74.15517992545888 40.61539626643581, -74.15533665787727 40.61464398021316)",263,8435,30.33,7,GOOD,277.5103602,5990,NORTH END AVENUE,0,0,0,0,0.05
"LINESTRING (-74.15517992545888 40.61539626643581, -74.15341084943294 40.615157098862554)",499,8436,30,8,GOOD,498.8236161,5991,MOUNT CARMEL PLACE,0,0,0,0,0.05
"LINESTRING (-74.15499795697517 40.61614035202073, -74.15675981576766 40.616360291448885)",525,8437,34.67,7,FAIR,495.6631921,5992,MARGARET CORBIN DRIVE,0,0,0,0,0.05
"LINESTRING (-74.15499795697517 40.61614035202073, -74.15517992545888 40.61539626643581)",270,8438,30.33,7,GOOD,275.7571395,5993,WARREN STREET,0,0,0,0,0.05
"LINESTRING (-74.15387316769463 40.61414914021544, -74.15638070770927 40.61443670475921)",656,8439,30,0,NR,704.0255677,5994,PARK AVENUE SOUTH,0,0,0,0,0.05
"LINESTRING (-74.15387316769463 40.61414914021544, -74.15470646536119 40.61314617047904)",470,8440,30,0,NR,432.4916184,5995,PEDESTRIAN PATH,0,0,0,0,0.05
"LINESTRING (-74.15314251065328 40.614372444584205, -74.15355659027344 40.612749716631164)",609,8441,30,0,NR,602.2765146,5996,EAST 46 STREET,0,0,0,0,0.05
"LINESTRING (-74.15397113824788 40.61446191596301, -74.15533665787727 40.61464398021316)",497,8442,30,8,GOOD,384.8766036,5997,DE PEW PLACE,0,0,0,0,0.05
"LINESTRING (-74.15302165320662 40.61507252890168, -74.15387316769463 40.61414914021544)",284,8444,30,0,NR,411.1751452,5998,RIVERSIDE DRIVE,0,0,0,0,0.05
"LINESTRING (-74.15302165320662 40.61507252890168, -74.15314251065328 40.614372444584205)",112,8445,30,0,NR,257.2566812,5999,MADISON STREET,0,0,0,0,0.05
"LINESTRING (-74.15321445427004 40.61590120086946, -74.15499795697517 40.61614035202073)",488,8448,34.67,7,FAIR,502.7613748,6000,MADISON STREET,0,0,0,0,0.05
"LINESTRING (-74.15321445427004 40.61590120086946, -74.15341084943294 40.615157098862554)",266,8449,32.17,8,GOOD,276.5248633,6001,MADISON STREET,0,0,0,0,0.05
"LINESTRING (-74.15303606444368 40.616645278509, -74.15321445427004 40.61590120086946)",275,8450,30,7,FAIR,275.5739465,6002,MADISON STREET,0,0,0,0,0.05
